cups;ct;linia;municipi;potencia_conveni;pot_contratada;tensio;escomesa;node;comptador
137729;CT-0975;9;Ametlla del Vallès, L';9.200;6.900;230;48540;57765;SAG0185919160
137989;CT-0975;9;Ametlla del Vallès, L';17.321;13.856;400;48540;57765;LGZ0037598754
137621;CT-0975;9;Ametlla del Vallès, L';4.600;4.600;230;48485;57626;SAG0165756719
141825;CT-0975;11;Ametlla del Vallès, L';17.321;17.300;400;49460;122996;ZIV0037110476
141903;CT-0975;11;Ametlla del Vallès, L';9.200;9.200;230;49460;122996;SAG0242809180
141846;CT-0975;11;Ametlla del Vallès, L';9.200;9.200;230;49460;122996;SAG0242809241
141801;CT-0975;11;Ametlla del Vallès, L';9.200;6.900;230;49459;122995;SAG0242809185
141178;CT-0975;9;Ametlla del Vallès, L';6.900;5.750;230;49371;117743;SAG0225905931
141896;CT-0975;11;Ametlla del Vallès, L';9.200;5.750;230;49459;122995;SAG0242809182
137783;CT-0975;9;Ametlla del Vallès, L';5.750;4.600;230;48540;57765;SAG0165788563
137585;CT-0975;9;Ametlla del Vallès, L';4.600;4.600;230;48485;57626;LGZ0031832154
141804;CT-0975;11;Ametlla del Vallès, L';17.321;17.300;400;49459;122995;ZIV0037110478
141869;CT-0975;11;Ametlla del Vallès, L';9.200;9.200;230;49459;122995;SAG0242809181
137668;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48485;57626;SAG0165788483
137945;CT-0975;9;Ametlla del Vallès, L';9.200;5.750;230;48485;57626;SAG0185919547
141831;CT-0975;11;Ametlla del Vallès, L';9.200;9.200;230;49459;122995;SAG0242809187
137782;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48485;57626;SAG0185919163
137689;CT-0975;9;Ametlla del Vallès, L';9.200;5.750;230;48485;57626;SAG0165788790
141812;CT-0975;11;Ametlla del Vallès, L';9.200;6.600;230;49460;122996;SAG0242809248
137735;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48540;57765;SAG0185919511
137747;CT-0975;9;Ametlla del Vallès, L';9.200;5.750;230;48540;57765;SAG0165788873
137513;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48485;57626;LGZ0031832019
137619;CT-0975;9;Ametlla del Vallès, L';5.750;5.700;230;48485;57626;SAG0165756718
137598;CT-0975;9;Ametlla del Vallès, L';5.750;4.500;230;48485;57626;LGZ0031832070
141824;CT-0975;11;Ametlla del Vallès, L';9.200;9.200;230;49460;122996;SAG0242809179
141835;CT-0975;11;Ametlla del Vallès, L';9.200;6.600;230;49460;122996;SAG0242809247
141832;CT-0975;11;Ametlla del Vallès, L';9.200;7.000;230;49459;122995;SAG0242809186
141847;CT-0975;11;Ametlla del Vallès, L';9.200;9.200;230;49459;122995;SAG0242809188
137310;CT-0975;13;Ametlla del Vallès, L';5.196;5.196;400;48384;58117;LGZ0037598721
137937;CT-0975;9;Ametlla del Vallès, L';9.200;5.750;230;48540;57765;ZIV0040336513
137819;CT-0975;9;Ametlla del Vallès, L';9.200;6.000;230;48540;57765;SAG0185919419
137521;CT-0975;9;Ametlla del Vallès, L';13.856;13.856;400;48485;57626;ZIV0044547608
141843;CT-0975;11;Ametlla del Vallès, L';9.200;6.900;230;49459;122995;SAG0242809184
137728;CT-0975;9;Ametlla del Vallès, L';10.392;10.392;400;48540;57765;ZIV0050080857
137734;CT-0975;9;Ametlla del Vallès, L';5.500;5.500;230;48540;57765;SAG0185919519
137784;CT-0975;9;Ametlla del Vallès, L';4.300;4.300;230;48540;57765;SAG0165788566
138118;CT-0975;9;Ametlla del Vallès, L';4.400;4.400;230;48485;57626;SAG0205909029
137552;CT-0975;9;Ametlla del Vallès, L';13.856;13.856;400;48485;57626;ZIV0050080883
137746;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48540;57765;SAG0165788875
137548;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48485;57626;LGZ0031832044
137618;CT-0975;9;Ametlla del Vallès, L';4.600;4.600;230;48485;57626;SAG0165775271
137589;CT-0975;9;Ametlla del Vallès, L';4.600;4.600;230;48485;57626;LGZ0031832152
137850;CT-0975;9;Ametlla del Vallès, L';9.200;5.750;230;48485;57626;SAG0185919523
137649;CT-0975;9;Ametlla del Vallès, L';5.750;5.750;230;48485;57626;SAG0165788886
141800;CT-0975;11;Ametlla del Vallès, L';22.140;22.140;400;49459;122995;ZIV0037110477
